   2.21875012E-02  0.102812499       5.93081675E-03   1.21762906E-03
  0.102812499      0.206818745       3.87343531E-03   7.24383339E-04
  0.206818745      0.371148616       3.84994969E-03   7.59847462E-04
  0.371148616      0.630789816       3.17346724E-03   6.27275556E-04
  0.630789816       1.04102302       1.61103753E-03   6.08403992E-04
   1.04102302       1.68919134       8.77510873E-04   5.74579695E-04
   1.68919134       2.71329713      -1.38609542E-03   5.98104612E-04
   2.71329713       4.33138466      -2.41825380E-03   6.79159653E-04
   4.33138466       6.88796234      -4.50402219E-03   8.64908274E-04
   6.88796234       10.9273558      -3.95537820E-03   1.28778233E-03
   10.9273558       17.3095970      -2.56577972E-03   2.11818144E-03
   17.3095970       27.3935375       1.45643775E-03   3.79737234E-03
   27.3935375       43.3261642       9.37862881E-03   5.99470269E-03
   43.3261642       68.4997177       2.15299986E-02   1.24486601E-02
   68.4997177       99.3324356       3.48741226E-02   2.10489891E-02
