   3.00000086E-02  0.169999987       1.27752451E-02   3.01520410E-03
  0.170000002      0.365999997       1.18643856E-02   1.77222944E-03
  0.365999997      0.718800008       1.10293282E-02   1.73489330E-03
  0.718800008       1.35383999       8.82633030E-03   1.59140758E-03
   1.35383999       2.49691200       4.24698275E-03   1.76684372E-03
   2.49691200       4.55444145       9.85073741E-04   2.07639602E-03
   4.55444145       8.25799465      -4.04434977E-03   3.47120687E-03
   8.25799465       14.9243908      -1.06616244E-02   7.60721369E-03
   14.9243908       26.9239025      -2.60954257E-02   1.69632416E-02
   26.9239025       48.5230255      -2.66244356E-02   3.17435563E-02
   48.5230255       87.4014435      -1.12751396E-02   2.96320282E-02
   87.4014435       157.382599      0.292405158       5.00714332E-02
   157.382599       283.348694      0.210111529       8.60301629E-02
   283.348694       510.087646     -0.220718354      0.107673764    
   510.087646       801.609131      -1.90483630E-02  0.237946704    
